Year	Short	Animation	Romance	Thriller	Drama	Comedy	Biography	Documentary	Mystery	Horror	Sci-Fi	Fantasy	Action	Family	Crime	Musical	War	Adventure	Music	Sport	Reality-TV	Game-Show	History	Adult	Talk-Show	Western	News	Film-Noir
1900	368	1	0	0	30	100	1	281	1	2	0	28	2	0	8	0	14	1	4	2	0	0	0	0	0	0	5	0
1901	781	0	1	0	23	126	0	601	0	0	0	35	1	0	2	0	16	0	1	13	0	0	1	0	0	1	24	0
1902	858	1	0	0	18	143	0	453	0	3	1	62	1	0	0	0	1	3	0	2	0	0	3	0	0	0	41	0
1903	1659	1	7	0	76	300	2	794	0	1	0	91	8	7	16	0	5	4	1	8	0	0	0	0	0	8	19	0
1904	572	1	1	0	33	98	0	144	0	0	2	19	4	0	10	1	26	2	0	2	0	0	0	0	0	5	3	0
1905	293	0	1	0	47	70	1	82	1	1	0	8	2	3	14	0	1	4	0	2	0	0	0	1	0	0	3	0
1906	476	3	2	0	39	59	2	120	1	2	1	6	0	0	11	2	0	0	13	5	0	0	0	0	0	3	5	0
1907	509	7	3	1	55	92	0	80	0	1	1	10	0	0	1	0	0	3	39	2	0	0	0	1	0	7	0	0
1908	677	5	10	0	88	81	1	53	5	3	4	14	19	0	13	0	3	3	23	2	0	0	7	1	0	14	2	0
1909	893	7	20	5	131	166	2	69	6	1	1	8	4	2	15	10	9	5	17	0	0	0	6	0	0	39	0	0
1910	1455	10	94	11	378	362	1	115	1	5	2	8	1	5	31	0	10	16	1	1	0	0	9	2	0	167	2	0
1911	2860	4	197	27	1111	726	3	210	3	1	3	14	6	22	37	0	20	20	2	2	0	0	7	0	0	282	1	0
1912	3854	13	339	77	1403	1187	4	104	14	6	2	17	9	27	64	0	18	44	0	4	0	0	3	0	0	365	1	0
1913	4472	118	255	50	1541	1539	3	90	16	9	1	17	11	17	81	3	25	37	7	3	0	0	5	0	0	332	0	0
1914	4096	55	166	32	1389	1632	6	70	35	8	4	19	16	5	77	0	24	49	3	4	0	0	16	1	0	267	1	0
1915	4082	143	150	43	1685	1783	3	107	58	10	3	12	16	3	69	0	66	52	0	4	0	0	22	1	0	226	0	0
1916	3289	312	84	38	1692	1868	3	205	40	7	5	13	15	4	56	1	46	44	1	4	0	0	24	0	0	214	0	0
1917	2015	267	79	28	1151	1323	9	153	57	7	0	24	14	8	70	2	44	53	1	4	0	0	15	0	0	166	0	0
1918	877	177	104	12	747	799	7	120	41	5	3	11	13	3	39	1	86	47	1	2	0	0	11	0	0	122	1	0
1919	739	151	117	8	691	755	4	140	27	9	1	8	32	0	82	0	25	58	0	6	0	0	10	0	0	168	0	0
1920	1031	274	77	8	654	904	1	229	53	19	7	6	20	3	90	2	7	75	1	8	0	0	8	2	0	149	0	0
1921	1182	235	97	5	543	845	2	316	67	7	4	19	29	6	81	2	6	59	0	31	0	0	8	2	0	208	0	0
1922	1047	190	110	10	530	806	6	222	36	5	3	6	26	16	54	1	2	45	1	25	0	0	7	0	0	207	14	0
1923	896	169	77	6	484	694	2	203	43	7	3	16	21	22	75	1	7	41	10	6	0	0	26	2	0	150	4	0
1924	918	171	81	15	428	738	2	161	32	10	5	12	28	21	62	3	7	42	7	44	0	0	6	3	0	213	3	0
1925	1054	230	89	5	407	879	2	261	8	5	7	11	41	25	27	7	9	52	6	38	0	0	11	6	0	264	3	0
1926	1090	270	120	14	405	932	6	167	21	6	1	6	60	19	44	6	18	54	10	17	0	0	9	0	0	251	0	0
1927	1109	232	142	11	450	959	2	277	20	6	2	4	48	20	42	13	21	41	5	41	0	0	8	1	0	205	0	0
1928	974	192	107	13	450	790	4	221	20	4	3	5	47	25	51	25	29	39	15	27	0	0	14	0	0	187	1	1
1929	1015	185	109	14	382	666	4	172	38	5	3	3	34	43	53	162	13	42	67	43	0	0	11	1	0	117	1	1
1930	777	191	140	7	364	566	2	143	32	3	4	12	18	41	65	189	20	39	42	13	0	0	9	2	0	110	1	0
1931	675	219	113	12	409	555	6	101	39	12	4	9	20	57	87	86	19	35	28	39	0	0	6	0	0	94	0	2
1932	648	243	107	17	421	492	2	274	61	22	8	11	26	79	103	91	12	42	35	35	0	0	9	1	0	109	0	3
1933	620	221	127	20	401	542	5	280	51	17	13	15	21	73	79	132	26	37	35	15	0	0	9	3	0	68	2	0
1934	686	222	127	16	434	528	13	143	55	12	7	12	31	74	73	170	17	54	33	8	0	0	17	3	0	92	1	1
1935	629	208	131	20	404	526	12	172	62	17	16	22	60	78	89	169	11	60	29	12	0	0	17	1	0	150	0	3
1936	634	217	119	23	421	563	14	338	60	18	14	15	43	100	113	167	39	71	38	19	0	0	15	0	0	137	1	0
1937	706	192	141	33	499	559	11	364	60	7	9	12	49	107	121	172	113	76	41	22	0	0	26	0	0	138	1	2
1938	634	213	129	17	475	595	18	212	69	4	7	13	72	108	124	156	66	91	58	23	0	0	30	0	0	122	0	1
1939	530	185	97	29	499	504	24	169	64	13	9	12	35	122	111	122	43	69	43	8	0	0	26	0	0	128	0	2
1940	490	194	89	23	402	485	21	143	59	22	15	13	31	110	80	106	40	76	24	13	0	1	16	2	0	140	1	6
1941	581	199	92	24	341	496	9	197	61	17	8	14	56	127	56	123	77	74	41	17	0	2	15	1	0	135	2	9
1942	584	226	75	33	391	454	17	231	56	20	16	10	51	128	63	103	128	59	36	17	0	1	14	1	0	124	0	6
1943	503	193	74	34	345	392	12	219	41	19	8	10	35	89	44	125	147	56	31	1	0	0	19	0	0	107	1	5
1944	527	191	78	31	326	344	12	157	56	29	11	17	36	93	47	149	115	59	40	10	0	1	9	0	0	108	0	12
1945	501	150	62	30	329	308	10	206	65	22	5	18	24	72	59	122	83	39	43	10	0	0	10	1	0	92	1	18
1946	450	134	76	38	406	323	8	180	74	19	4	19	23	97	78	107	38	42	48	13	0	11	9	0	0	103	2	34
1947	444	154	82	35	451	327	8	203	63	8	6	19	26	108	96	88	22	57	42	15	0	6	12	1	2	107	2	48
1948	499	171	81	36	499	383	13	186	42	8	6	18	43	124	90	85	33	66	56	16	1	8	9	2	8	133	6	35
1949	478	177	117	43	589	445	15	179	43	13	10	21	44	157	121	112	32	71	100	24	0	20	10	1	6	141	1	43
1950	456	152	76	26	612	414	12	268	39	4	10	25	39	171	137	91	38	68	59	10	0	15	12	2	7	152	1	52
1951	530	183	101	35	658	484	16	255	38	12	23	28	43	157	118	102	53	78	48	20	0	17	12	1	11	122	5	35
1952	497	161	108	29	633	484	22	330	32	8	14	22	47	168	98	97	35	100	49	20	1	26	11	1	5	128	10	22
1953	541	171	115	41	663	493	23	327	29	16	34	28	63	178	97	106	37	100	50	20	1	20	21	0	7	93	7	16
1954	564	183	142	49	697	469	17	288	45	21	32	37	55	228	142	117	42	133	56	19	0	15	21	0	9	99	12	21
1955	567	157	154	41	772	493	21	317	33	20	36	38	49	216	135	106	50	110	52	13	0	13	31	6	3	102	1	24
1956	556	160	153	52	717	501	16	305	35	30	54	30	49	171	103	124	52	86	47	22	2	15	25	1	2	102	5	13
1957	628	197	168	56	807	490	21	347	45	59	50	54	92	209	137	124	59	117	38	18	1	5	24	0	11	119	7	19
1958	559	139	196	69	806	520	19	339	48	66	69	40	71	179	173	120	72	111	39	8	0	24	20	1	3	94	4	11
1959	524	146	227	80	830	550	17	365	54	55	47	42	76	192	156	116	94	122	68	4	1	10	21	1	7	82	4	1
1960	579	147	195	69	926	566	16	448	68	59	42	40	82	196	208	119	81	122	59	8	2	7	24	2	5	76	11	0
1961	633	148	223	58	906	595	14	476	46	48	38	55	109	178	144	111	68	165	66	8	1	15	21	1	5	67	5	0
1962	761	221	212	74	925	588	19	482	63	71	47	53	107	186	144	113	87	177	74	14	0	9	23	1	8	75	3	0
1963	730	213	201	69	871	598	9	559	50	67	51	35	119	158	159	121	73	164	63	6	1	13	30	1	6	53	6	0
1964	793	161	223	89	1041	645	17	664	68	80	51	65	162	168	147	134	87	188	76	16	2	10	36	6	3	72	3	0
1965	957	253	238	107	1167	657	25	570	54	67	117	63	210	180	167	138	91	200	103	14	0	17	27	19	7	153	6	0
1966	896	241	257	105	1028	700	21	494	69	85	85	60	203	196	180	152	86	267	90	13	2	13	27	18	5	137	3	0
1967	972	313	280	129	1170	701	20	566	57	72	81	65	179	197	245	150	81	254	103	11	1	16	35	12	11	125	4	0
1968	849	194	269	124	1299	693	21	587	65	93	60	67	217	166	222	123	123	232	112	23	0	9	40	34	7	130	7	0
1969	837	192	320	109	1394	710	24	576	69	84	60	62	204	204	215	117	91	197	87	27	1	24	45	22	9	100	1	0
1970	800	184	239	135	1474	701	32	654	64	121	60	75	203	197	818	106	91	207	106	36	0	11	46	110	10	91	13	0
1971	893	206	217	150	1169	714	17	656	71	145	51	70	204	193	469	115	65	196	80	34	2	15	52	118	8	122	4	0
1972	761	190	202	164	1319	724	33	596	78	175	61	81	222	313	230	152	51	199	114	34	0	18	38	131	8	116	7	0
1973	702	162	165	227	1200	656	39	569	81	173	80	62	277	202	259	95	61	150	86	37	2	13	37	186	9	65	3	0
1974	768	167	190	180	1245	682	39	636	74	148	65	83	273	215	241	90	48	164	71	27	2	17	36	190	7	60	6	0
1975	843	174	143	156	1137	700	38	674	88	125	67	62	215	186	224	88	52	160	93	26	2	25	35	285	10	57	11	0
1976	806	160	141	153	1188	691	40	667	77	108	50	76	255	249	223	97	62	155	103	24	0	19	42	270	19	57	4	0
1977	645	193	162	146	1174	659	44	580	75	119	83	78	275	283	209	86	51	162	96	33	1	25	32	188	8	37	8	0
1978	740	246	150	154	1193	675	56	597	63	107	92	84	265	251	166	114	52	174	109	41	2	17	63	184	12	41	12	0
1979	718	206	182	145	1304	704	36	613	64	89	92	98	303	230	171	93	59	162	112	48	3	20	46	192	10	41	12	0
1980	767	216	218	154	1351	774	57	661	73	136	101	77	305	259	169	110	59	139	141	30	2	17	48	201	19	22	17	0
1981	600	189	187	150	1317	748	67	537	65	143	92	99	261	285	141	111	65	155	148	30	3	19	57	244	16	23	18	0
1982	629	232	211	160	1321	782	47	580	74	126	106	123	292	351	173	116	49	177	155	23	4	17	33	185	22	21	12	0
1983	608	217	217	161	1352	742	69	656	90	132	117	132	319	296	207	111	69	158	150	33	6	23	44	335	24	13	11	0
1984	662	236	221	193	1415	851	52	583	75	101	112	110	332	320	188	104	72	156	179	46	1	30	61	465	19	11	11	0
1985	753	245	236	195	1412	829	57	657	109	161	137	148	350	282	209	105	83	184	177	34	6	31	28	659	20	18	15	0
1986	783	271	209	207	1471	879	58	634	93	176	148	158	370	332	220	90	78	193	162	44	1	21	32	634	25	21	16	0
1987	807	296	204	253	1487	969	438	1090	82	224	154	146	430	321	232	92	91	201	194	41	5	30	53	565	23	23	15	0
1988	799	291	246	287	1494	978	72	763	105	233	148	155	450	251	277	87	88	207	173	40	1	35	50	623	29	19	23	0
1989	830	291	215	280	1489	1011	56	710	119	240	165	158	491	279	282	87	74	224	187	49	6	39	57	683	34	19	25	0
1990	903	271	215	328	1460	1055	58	791	98	254	157	174	562	294	286	82	66	227	217	52	9	50	44	832	41	18	32	0
1991	1065	304	252	287	1511	1094	59	885	104	182	154	160	507	291	256	80	50	213	227	51	7	34	49	837	33	32	12	0
1992	1164	310	274	345	1452	1069	61	1025	108	182	145	183	518	277	282	75	52	219	247	74	10	46	38	1219	51	16	41	0
1993	1233	295	330	394	1585	1052	76	926	123	185	186	178	546	296	291	70	54	251	227	53	10	41	49	1492	55	29	35	0
1994	1505	372	302	419	1678	1195	101	1144	119	163	213	236	564	358	388	84	72	280	225	96	20	35	79	1402	68	39	26	0
1995	1637	368	359	460	1632	1231	342	1473	131	208	232	203	616	344	339	80	76	286	300	92	22	43	63	1377	66	42	40	0
1996	1977	418	379	505	1848	1387	292	1687	139	234	275	204	645	374	439	92	49	276	267	137	22	55	85	963	84	20	44	0
1997	2081	443	436	509	2011	1567	107	1643	144	224	245	229	730	403	391	96	82	351	309	114	17	51	82	958	78	20	40	0
1998	2748	512	496	532	2113	1801	112	2040	152	257	287	243	716	451	388	101	69	445	351	125	33	66	82	1091	95	27	49	0
1999	3142	640	504	557	2277	1887	115	2272	169	320	292	253	765	521	369	82	92	441	351	143	44	90	101	1259	83	24	34	0
2000	3541	737	593	631	2598	2002	128	2515	208	409	277	364	776	569	487	138	88	516	458	150	91	103	102	1605	89	22	58	0
2001	3968	684	675	628	2803	2361	118	2940	263	405	335	392	882	602	511	130	141	542	473	172	153	147	91	1733	129	26	71	0
2002	4762	679	790	773	3312	2672	129	3312	316	499	376	430	922	696	582	181	128	581	533	177	157	98	86	1919	125	34	65	0
2003	5636	779	850	798	3896	3188	147	4008	330	556	363	424	1016	698	583	201	137	603	689	172	245	102	123	2826	145	53	67	0
2004	7161	780	862	807	4296	3353	147	4503	338	686	404	418	962	602	467	231	142	512	762	265	362	113	118	3641	153	41	77	0
2005	7918	882	934	1007	5019	3739	209	4358	423	859	428	464	1009	680	552	213	145	578	825	360	513	158	168	3032	214	54	145	0
2006	6582	788	858	1046	5137	3600	234	3841	379	942	445	434	920	566	506	190	154	557	680	436	613	213	218	1721	299	40	155	0
2007	2869	416	659	1083	4032	2719	159	2277	296	870	363	297	762	336	504	114	102	378	313	240	468	117	145	1187	162	56	88	0
2008	2	107	245	547	1490	932	84	197	107	349	168	154	403	124	185	37	67	239	39	42	26	5	54	0	4	22	0	0
2009	0	50	76	183	560	355	50	24	44	82	64	74	195	40	76	7	29	112	21	25	0	0	23	0	1	8	0	0
2010	0	12	11	25	78	68	6	1	6	12	19	27	54	7	12	2	1	42	0	5	0	0	2	0	1	0	0	0
2011	0	0	0	1	0	1	0	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
2012	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
