"Year","PCryonics","KarmaScore","CryonicsStatus","Sequences","TimeonLW","Meetups","LessWrongUse","HPMOR"
2009,0.4,15,"No, but considering it",80,100,FALSE,NA,NA
2009,0.05,NA,"No, and don't plan to",95,30,FALSE,NA,NA
2009,0.001,14,"Yes",25,1,FALSE,NA,NA
2009,0.05,165,"No, but considering it",90,30,FALSE,NA,NA
2009,0.6,70,"No, but considering it",95,30,FALSE,NA,NA
2009,0.85,17,"No, but considering it",3,60,FALSE,NA,NA
2009,0.2,11,"No, and don't plan to",10,20,FALSE,NA,NA
2009,0.01,NA,"No, and don't plan to",25,15,FALSE,NA,NA
2009,0.07,6,"No, and don't plan to",12,50,FALSE,NA,NA
2009,0.01,NA,"No, never thought about it",10,5,FALSE,NA,NA
2009,0.1,8,"No, and don't plan to",3,45,FALSE,NA,NA
2009,0.9,1,"No, but considering it",NA,NA,FALSE,NA,NA
2009,0.99,NA,"No, never thought about it",NA,5,FALSE,NA,NA
2009,0.5,NA,"No, but considering it",NA,0,FALSE,NA,NA
2009,0.3,15,"No, but considering it",10,40,FALSE,NA,NA
2009,0.2,NA,"No, but considering it",80,30,FALSE,NA,NA
2009,0.3,NA,"No, but considering it",10,30,FALSE,NA,NA
2009,0.2,NA,"No, and don't plan to",40,10,FALSE,NA,NA
2009,0.1,NA,"No, but considering it",50,30,FALSE,NA,NA
2009,0.05,6,"No, but considering it",10,30,FALSE,NA,NA
2009,0.05,22,"No, and don't plan to",NA,20,FALSE,NA,NA
2009,0.9,5,"No, but considering it",80,20,FALSE,NA,NA
2009,0.5,NA,"No, but considering it",80,20,FALSE,NA,NA
2009,0.2,6,"No, but considering it",15,35,FALSE,NA,NA
2009,0.08,800,"No, but considering it",0,60,FALSE,NA,NA
2009,0.25,445,"No, but considering it",70,45,FALSE,NA,NA
2009,0.008,23,"No, but considering it",60,NA,FALSE,NA,NA
2009,0.05,NA,"No, and don't plan to",70,10,FALSE,NA,NA
2009,0.01,89,"No, but considering it",50,40,FALSE,NA,NA
2009,0.4,10,"No, but considering it",95,40,FALSE,NA,NA
2009,0.05,0,"No, and don't plan to",20,20,FALSE,NA,NA
2009,1e-04,20,"No, and don't plan to",10,20,FALSE,NA,NA
2009,0.5,15,"No, and don't plan to",90,15,FALSE,NA,NA
2009,0.2,26,"No, but considering it",10,30,FALSE,NA,NA
2009,0.05,0,"No, but considering it",30,30,FALSE,NA,NA
2009,1,186,"No, but considering it",55,30,FALSE,NA,NA
2009,0.5,NA,"No, but considering it",25,NA,FALSE,NA,NA
2009,0.05,5,"No, and don't plan to",10,7,FALSE,NA,NA
2009,0.05,NA,"No, but considering it",90,30,FALSE,NA,NA
2009,0.005,12,"No, and don't plan to",10,15,FALSE,NA,NA
2009,0.02,0,"No, and don't plan to",NA,20,FALSE,NA,NA
2009,0.25,20,"No, but considering it",40,45,FALSE,NA,NA
2009,NA,NA,"No, and don't plan to",NA,15,FALSE,NA,NA
2009,0.2,NA,"No, and don't plan to",50,30,FALSE,NA,NA
2009,0.1,0,"No, and don't plan to",80,10,FALSE,NA,NA
2009,0.03,NA,"No, but considering it",85,25,FALSE,NA,NA
2009,0.16666666666,NA,"No, but considering it",25,30,FALSE,NA,NA
2009,0.01,0,"No, and don't plan to",NA,12,FALSE,NA,NA
2009,0.4,NA,"Yes",10,20,FALSE,NA,NA
2009,0.1,61,"No, but considering it",70,15,FALSE,NA,NA
2009,0.1,NA,"No, but considering it",20,5,FALSE,NA,NA
2009,0.5,7,"No, but considering it",90,20,FALSE,NA,NA
2009,0.5,NA,"No, and don't plan to",NA,30,FALSE,NA,NA
2009,0.05,NA,"No, never thought about it",10,15,FALSE,NA,NA
2009,NA,NA,"No, and don't plan to",5,5,FALSE,NA,NA
2009,0.1,NA,"No, but considering it",25,30,FALSE,NA,NA
2009,0.2,0,"No, never thought about it",1,0,FALSE,NA,NA
2009,0.1,4,"No, but considering it",80,15,FALSE,NA,NA
2009,1,20,"No, but considering it",90,15,FALSE,NA,NA
2009,0.01,0,"No, but considering it",50,5,FALSE,NA,NA
2009,0.4,15,"No, but considering it",90,30,FALSE,NA,NA
2009,0.01,NA,"No, never thought about it",10,20,FALSE,NA,NA
2009,0.05,NA,"No, but considering it",90,20,FALSE,NA,NA
2009,0.1,NA,"No, and don't plan to",30,NA,FALSE,NA,NA
2009,0.001,NA,"No, and don't plan to",90,15,FALSE,NA,NA
2009,0.2,NA,"No, but considering it",90,10,FALSE,NA,NA
2009,0.45,NA,"No, but considering it",50,10,FALSE,NA,NA
2009,0.1,65,"No, and don't plan to",70,45,FALSE,NA,NA
2009,0.1,96,"No, but considering it",60,NA,FALSE,NA,NA
2009,0.001,NA,"No, and don't plan to",60,30,FALSE,NA,NA
2009,0.05,90,"No, but considering it",60,30,FALSE,NA,NA
2009,0.02,250,"No, but considering it",60,30,FALSE,NA,NA
2009,0.1,60,"No, but considering it",99,20,FALSE,NA,NA
2009,0.15,NA,"No, and don't plan to",95,70,FALSE,NA,NA
2009,0.03,246,"No, but considering it",94,30,FALSE,NA,NA
2009,0.05,NA,"No, and don't plan to",NA,60,FALSE,NA,NA
2009,0.15,0,"No, but considering it",10,20,FALSE,NA,NA
2009,0.4,NA,"No, but considering it",60,15,FALSE,NA,NA
2009,0.6,120,"No, but considering it",10,30,FALSE,NA,NA
2009,0,90,"No, and don't plan to",60,30,FALSE,NA,NA
2009,0.05,300,"No, but considering it",90,120,FALSE,NA,NA
2009,0.1,120,"No, and don't plan to",20,10,FALSE,NA,NA
2009,0.4,8,"No, but considering it",60,20,FALSE,NA,NA
2009,0.02,29,"No, but considering it",30,90,FALSE,NA,NA
2009,0.01,10,"No, but considering it",91,30,FALSE,NA,NA
2009,0.01,NA,"No, never thought about it",NA,0,FALSE,NA,NA
2009,0.01,14,"No, and don't plan to",20,25,FALSE,NA,NA
2009,0.05,57,"No, and don't plan to",40,30,FALSE,NA,NA
2009,0.9,160,"No, and don't plan to",99,40,FALSE,NA,NA
2009,0.15,700,"No, but considering it",70,90,FALSE,NA,NA
2009,0.25,NA,"No, but considering it",30,60,FALSE,NA,NA
2009,0.05,NA,"No, but considering it",60,15,FALSE,NA,NA
2009,0.15,160,"No, but considering it",75,10,FALSE,NA,NA
2009,0.5,NA,"No, and don't plan to",45,15,FALSE,NA,NA
2009,0.04,0,"No, but considering it",70,50,FALSE,NA,NA
