Gender,Age,Race,Professional Field,Professional Status,Degree Status,Relationship Status,Political Views,Religious Views,Religious Background,Religious Background 2,IQ,OB posts,-------------------------------------------------------------------------------------------------------------------------,Time in Community,Time per day,LW Karma,Probability: MWI,Probability: Aliens,Probability: Aliens 2,Probability: God,Probability: God 2,Probability: Supernatural,Probability: Cryonics,Probability: Anti-Agathics,Probability: Simulation,Three Worlds Ending,Robin vs. Eliezer Singularity,Singularity: Year,Classic Prisoner's Dilemma,"Eliezer's ""True"" Prisoner's Dilemma",Probability: High IQ,Private,Counterfactual Mugging,Existential Risk 2,-------------------------------------------------------------------------------------------------------------------------,Cryonics,Participation,Moral value,Probability: Global Warming,Expertise,Probability: Existential Risk,Charity,Moral Views,Calibration 1,Calibration 2
Male,19,White (non-Hispanic),"None / Decline to answer, equivalent of high school",Student,equivalent of high school degree,Single (and looking),"Socialist (for example Scandinavian countries; socially permissive, high taxes and major redistribution of wealth)","Atheist, and not ""spiritual""",Family was above average religiosity,Lutheran,,80,.,18,100,15,55,90,80,1,0,2,40,50,2,Superhappies reprogram the human utility function,Robin's: Whole brain emulations gradually reaching singularity status,2070,No preference / Depends / Don't understand,Defect,,,Give Omega $100,Pandemic (bioengineered),.,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Brain-dead adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",90,Philosophy,75,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1700,3
Male,26,White (non-Hispanic),Other computing,,B. S.,Married,"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was less religious than average,Christian,130,95,.,29,30,,85,99,98,0,0,0,5,99,50,Superhappies reprogram the human utility function,Eliezer's: A singleton AI suddenly reaching singularity status,2031,Cooperate,Defect,40,,Give Omega $100,Unfriendly AI,.,"No, and don't plan to",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Higher primates (eg chimps), Other animals",99,"Economics, Energy/pollution/environment, AI, Philosophy",30,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Consequentialist (Eliezer's interpretation),1780,5
Male,26,Asian,Other Hard Sciences,Other non-profit work,Ph. D.,In a relationship,Not quite figured out,"Atheist, and not ""spiritual""",Family was extremely religious,Hinduism,,25,,4,1,14,,,,0,0,0,0.1,0.00001,,No preference / Didn't read it,Eliezer's: A singleton AI suddenly reaching singularity status,2082,Cooperate,Cooperate,,,No preference / Depends / Don't understand,Nuclear war,,Yes,,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Brain-dead adult humans, Infants, Fetuses, Embryos, Higher primates (eg chimps), Other animals",1,,99,"Possibly true, but only for a few outstanding charities",Consequentialist (Eliezer's interpretation),1790,1
Male,22,White (non-Hispanic),Other computing,Student,B. S.,Single (but not looking),"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was less religious than average,Roman Catholic,155,90,,32,30,165,40,100,100,0,0,0,5,2,0,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,,No preference / Depends / Don't understand,No preference / Depends / Don't understand,50,,Give Omega $100,Pandemic (bioengineered),,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses",80,"Economics, Philosophy",90,No opinion,whimsicalist,1800,15
Male,34,White (non-Hispanic),Other computing,Other for-profit work,B. S.,Married,"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,Christian/Anglican,140,95,,27,30,70,95,100-1e-110,99,0.0000001,0.00000001,0.00001,60,75,0.01,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2025,No preference / Depends / Don't understand,Defect,68,,Don't,Unfriendly AI,,"No, but considering it",Entrepreneurship,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Embryos, Higher primates (eg chimps), Other animals",99.99,"Economics, World affairs, Energy/pollution/environment, Philosophy",60,"Possibly true, but only for a few outstanding charities",Consequentialist (Eliezer's interpretation),1810,5
Male,16,White (non-Hispanic),"Other Social Sciences, Other Hard Sciences",Student,None,Single (but not looking),"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was less religious than average,Christian,173+ (SB L-M),3.%,,4,60,17,,99,60,1,0.1,5,85,80,50,No preference / Didn't read it,Eliezer's: A singleton AI suddenly reaching singularity status,2030,Cooperate,Defect,75,,Give Omega $100,Unfriendly AI,,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",90,"Economics, Math and Physics, AI, Biology and Medicine, Psychology and Neurology, Philosophy",85,"Possibly true, but only for a few outstanding charities",Consequentialist ignorant of Eliezer's interpretation,1825,10
Male,36,White (non-Hispanic),Other computing,Other for-profit work,B. S.,Married,"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was explicitly atheist,,140,100,,12,20,11,80,99.99,99.99,0,0,0,20,1,50,Humans blow up Huygens,No preference / Don't believe in the Singularity,,No preference / Depends / Don't understand,No preference / Depends / Don't understand,60,,Give Omega $100,Asteroid strike,,"No, and don't plan to",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",70,Math and Physics,99.99,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Consequentialist (generic interpretation),1840,5
Male,45,White (non-Hispanic),Other computing,Other for-profit work,None,Married,"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,episcopalian,130,25,,12,15,,50,99,95,0,0,1,1,1,50,No preference / Didn't read it,Eliezer's: A singleton AI suddenly reaching singularity status,,Defect,No preference / Depends / Don't understand,50,,No preference / Depends / Don't understand,Pandemic (bioengineered),,"No, and don't plan to",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",50,"Economics, Math and Physics",90,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1840,50
Male,22,White (non-Hispanic),"Artificial Intelligence, Other computing","Academic (on the teaching end, not the student end)",Masters,In a relationship,"Socialist (for example Scandinavian countries; socially permissive, high taxes and major redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,Roman Catholic,,12,,6,50,6,"I refuse to answer on the grounds that ""more or less correct"" seems ill-defined.",100,99.9999995,,0,,7,60,0,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2040,Cooperate,Cooperate,,,Don't,Asteroid strike,,"No, and don't plan to","Political debate, Political activism, Technology, Entrepreneurship","Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",85,"Economics, World affairs, Law, Energy/pollution/environment, Math and Physics, AI, Biology and Medicine, Psychology and Neurology, Philosophy",95,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Deontologist,1840,1.5
Male,21,White (non-Hispanic),Other Hard Sciences,Student,B. S.,Single (and looking),"Socialist (for example Scandinavian countries; socially permissive, high taxes and major redistribution of wealth)",Agnostic,Family was less religious than average,Protestant,,10.%,,5,5,,10,75,50,50,0,,1,1,50,No preference / Didn't read it,Eliezer's: A singleton AI suddenly reaching singularity status,2250,Cooperate,Defect,,,Don't,Pandemic (natural),,"No, never thought about it","Political debate, Technology, Entrepreneurship","Healthy, productive, adult humans, Healthy, unproductive adult humans, Brain-dead adult humans, Infants, Fetuses, Embryos, Higher primates (eg chimps), Other animals",95,"Economics, World affairs, Energy/pollution/environment, Math and Physics, AI",90,"True, for most normal charities (eg UNICEF)",Consequentialist (generic interpretation),1840,7
