"Date","MP","Noopept","Magnesium.citrate","LLLT"
2012-02-16,2,NA,NA,NA
2012-02-17,3,NA,NA,NA
2012-02-18,4,NA,NA,NA
2012-02-19,4,NA,NA,NA
2012-02-20,4,NA,NA,NA
2012-02-21,4,NA,NA,NA
2012-02-22,3,NA,NA,NA
2012-02-23,4,NA,NA,NA
2012-02-24,2,NA,NA,NA
2012-02-25,3,NA,NA,NA
2012-02-26,4,NA,NA,NA
2012-02-27,4,NA,NA,NA
2012-02-28,2,NA,NA,NA
2012-02-29,3,NA,NA,NA
2012-03-01,2,NA,NA,NA
2012-03-02,3,NA,NA,NA
2012-03-03,3,NA,NA,NA
2012-03-04,2,NA,NA,NA
2012-03-05,3,NA,NA,NA
2012-03-06,2,NA,NA,NA
2012-03-07,3,NA,NA,NA
2012-03-08,4,NA,NA,NA
2012-03-09,3,NA,NA,NA
2012-03-10,2,NA,NA,NA
2012-03-11,3,NA,NA,NA
2012-03-12,2,NA,NA,NA
2012-03-13,3,NA,NA,NA
2012-03-14,2,NA,NA,NA
2012-03-15,2,NA,NA,NA
2012-03-16,4,NA,NA,NA
2012-03-17,3,NA,NA,NA
2012-03-18,3,NA,NA,NA
2012-03-19,3,NA,NA,NA
2012-03-20,3,NA,NA,NA
2012-03-21,3,NA,NA,NA
2012-03-22,3,NA,NA,NA
2012-03-23,3,NA,NA,NA
2012-03-24,2,NA,NA,NA
2012-03-25,3,NA,NA,NA
2012-03-26,4,NA,NA,NA
2012-03-27,3,NA,NA,NA
2012-03-28,3,NA,NA,NA
2012-03-29,4,NA,NA,NA
2012-03-30,4,NA,NA,NA
2012-03-31,4,NA,NA,NA
2012-04-01,4,NA,NA,NA
2012-04-02,2,NA,NA,NA
2012-04-03,3,NA,NA,NA
2012-04-04,4,NA,NA,NA
2012-04-05,3,NA,NA,NA
2012-04-06,3,NA,NA,NA
2012-04-07,3,NA,NA,NA
2012-04-08,4,NA,NA,NA
2012-04-09,3,NA,NA,NA
2012-04-10,3,NA,NA,NA
2012-04-11,2,NA,NA,NA
2012-04-12,3,NA,NA,NA
2012-04-13,2,NA,NA,NA
2012-04-14,3,NA,NA,NA
2012-04-15,3,NA,NA,NA
2012-04-16,4,NA,NA,NA
2012-04-17,3,NA,NA,NA
2012-04-18,2,NA,NA,NA
2012-04-19,3,NA,NA,NA
2012-04-20,2,NA,NA,NA
2012-04-21,4,NA,NA,NA
2012-04-22,4,NA,NA,NA
2012-04-23,4,NA,NA,NA
2012-04-24,3,NA,NA,NA
2012-04-25,3,NA,NA,NA
2012-04-26,4,NA,NA,NA
2012-04-27,4,NA,NA,NA
2012-04-28,3,NA,NA,NA
2012-04-29,4,NA,NA,NA
2012-04-30,3,NA,NA,NA
2012-05-01,3,NA,NA,NA
2012-05-02,2,NA,NA,NA
2012-05-03,3,NA,NA,NA
2012-05-04,3,NA,NA,NA
2012-05-05,2,NA,NA,NA
2012-05-06,2,NA,NA,NA
2012-05-07,4,NA,NA,NA
2012-05-08,3,NA,NA,NA
2012-05-09,2,NA,NA,NA
2012-05-10,4,NA,NA,NA
2012-05-11,4,NA,NA,NA
2012-05-12,4,NA,NA,NA
2012-05-13,3,NA,NA,NA
2012-05-14,3,NA,NA,NA
2012-05-15,2,NA,NA,NA
2012-05-16,4,NA,NA,NA
2012-05-17,4,NA,NA,NA
2012-05-18,4,NA,NA,NA
2012-05-19,3,NA,NA,NA
2012-05-20,3,NA,NA,NA
2012-05-21,3,NA,NA,NA
2012-05-22,3,NA,NA,NA
2012-05-23,2,NA,NA,NA
2012-05-24,3,NA,NA,NA
2012-05-25,4,NA,NA,NA
2012-05-26,3,NA,NA,NA
2012-05-27,2,NA,NA,NA
2012-05-28,2,NA,NA,NA
2012-05-29,4,NA,NA,NA
