"Date","LLLT.random","MP","Nicotine","Magnesium.random"
2014-08-02,TRUE,3,FALSE,NA
2014-08-03,FALSE,3,FALSE,NA
2014-08-04,TRUE,4,FALSE,NA
2014-08-05,TRUE,3,FALSE,NA
2014-08-06,FALSE,4,FALSE,NA
2014-08-07,NA,4,FALSE,NA
2014-08-08,FALSE,3,FALSE,NA
2014-08-09,TRUE,3,FALSE,NA
2014-08-10,FALSE,2,FALSE,NA
2014-08-11,FALSE,2,FALSE,NA
2014-08-12,TRUE,2,FALSE,NA
2014-08-13,FALSE,3,FALSE,NA
2014-08-14,FALSE,4,FALSE,NA
2014-08-15,TRUE,4,FALSE,NA
2014-08-16,TRUE,3,FALSE,NA
2014-08-17,TRUE,3,FALSE,NA
2014-08-18,FALSE,3,FALSE,NA
2014-08-19,TRUE,3,FALSE,NA
2014-08-20,TRUE,3,FALSE,NA
2014-08-21,TRUE,4,FALSE,NA
2014-08-22,FALSE,3,FALSE,NA
2014-08-23,TRUE,4,FALSE,NA
2014-08-24,FALSE,4,FALSE,NA
2014-08-25,TRUE,4,FALSE,NA
2014-08-26,FALSE,3,FALSE,NA
2014-08-27,FALSE,4,FALSE,NA
2014-08-28,TRUE,4,FALSE,NA
2014-08-29,FALSE,3,FALSE,FALSE
2014-08-30,NA,4,FALSE,FALSE
2014-08-31,TRUE,3,FALSE,FALSE
2014-09-01,FALSE,3,FALSE,FALSE
2014-09-02,FALSE,2,FALSE,FALSE
2014-09-03,TRUE,4,FALSE,FALSE
2014-09-04,TRUE,3,FALSE,FALSE
2014-09-05,FALSE,3,FALSE,FALSE
2014-09-06,NA,4,FALSE,FALSE
2014-09-07,TRUE,4,FALSE,FALSE
2014-09-08,FALSE,4,FALSE,FALSE
2014-09-09,FALSE,3,FALSE,FALSE
2014-09-10,FALSE,4,FALSE,FALSE
2014-09-11,TRUE,4,FALSE,FALSE
2014-09-12,TRUE,4,FALSE,FALSE
2014-09-13,TRUE,3,FALSE,FALSE
2014-09-14,FALSE,3,FALSE,FALSE
2014-09-15,TRUE,4,FALSE,FALSE
2014-09-16,FALSE,4,FALSE,FALSE
2014-09-17,FALSE,3,FALSE,FALSE
2014-09-18,FALSE,3,FALSE,FALSE
2014-09-19,FALSE,3,FALSE,FALSE
2014-09-20,TRUE,4,FALSE,FALSE
2014-09-21,FALSE,3,FALSE,FALSE
2014-09-22,FALSE,3,FALSE,FALSE
