"Timestamp","ID","Grade","Easiness","Interval.length","Grade.future","Thinking.time.log","WeekDay","Hour","Date","Treadmill"
2013-08-23 22:56:28,"oTr1Ckqmykn83VKmH2ExSf",4,2.5,1254474,4,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:56:36,"xCcgzVS2tFGIvNY3XjdZx8",4,2.5,1594411,4,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:56:41,"dAqptjc7l8F5h37aWY5PCw",3,1.94,2722842,4,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:56:43,"0e1b6469",4,1.575,5356731,4,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:56:44,"fbb89256",4,1.3,19390617,3,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:56:45,"b68a1d0b.inv",4,1.3,22129005,2,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:56:47,"7a736aae",3,1.3,22673409,3,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:56:48,"2ce8b18a",4,1.37,25186434,4,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:56:50,"8APs7N1BfNdJVg5eeb2OZX",4,2.5,26472362,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:01,"9cc034cb",4,1.3,29163951,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:03,"c1451be3",3,1.3,29587683,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:06,"829e4940.inv",4,1.429,29760938,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:08,"707ae7e2",4,1.366,37955415,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:11,"db37726d",4,1.629,41599699,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:17,"60f31233",4,2.05012589875136,42196639,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:21,"de5db7bd",4,1.925,46243400,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:23,"8538872a",4,1.819,47707043,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:26,"69f2db22.inv",4,1.629,47879846,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:28,"85cad9df",4,1.832,47879848,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:31,"5254b110.inv",4,1.671,50990251,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:33,"a61ccd8b",4,2.088,53668653,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:35,"5506d187.inv",4,2.101,55223855,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:39,"ce92659a.inv",4,2.116,59111859,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:40,"7d83d2b8",4,2.021,59889460,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:41,"6e165236",4,2.159,63259061,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:42,"b615451f",4,1.96,64382262,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:43,"2cc0801a",4,2.162,65851063,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:45,"6fd7f652",3,1.785,74404665,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:46,"1b70e2ee",4,1.959,75009466,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:47,"e5f28f1e",4,2.275,79847867,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:48,"46a9b154",4,2.274,79847868,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:50,"6f47819a",4,2.263,80711868,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:51,"c8c0bb2f",4,2.267,81316670,NA,0,"Friday","22",2013-08-24,FALSE
2013-08-23 22:57:54,"fce5512f.inv",2,2.437,101707071,NA,1.09861228866811,"Friday","22",2013-08-24,FALSE
2013-08-24 09:10:21,"LVrkdEWqNQ8fgUmt0pQRyU",4,2.5,1380415,4,0,"Saturday","9",2013-08-24,FALSE
2013-08-25 09:53:20,"IoFgc7j3X2PkGMKv3Be3ex",3,2.08,2937067,3,0,"Sunday","9",2013-08-25,TRUE
2013-08-25 09:53:23,"n60zfn5jcgJEszuI0J1pak",3,2.22,3109796,4,0,"Sunday","9",2013-08-25,TRUE
2013-08-25 09:53:29,"BAlkc1wNJTQsmoX50EMKvf",4,2.5,9843388,4,0,"Sunday","9",2013-08-25,TRUE
