サークル名 (Circle),"ふりがな (Circle, phonetically)",URL,ジャンル (Genre),Vocal,主な頒布CD (Album),原曲アレンジの程度 (?),一言
っ´Д｀)っゼロ式の処刑場（っ´Д｀)っゼロ式の家・DESTRUCTIVE ANGEL）,ぜろしきのしょけいじょう,http://shinzanzeroshiki.fc2web.com/,メタル,男,Crazy Trancy Ecstasy,原曲維持,重厚感あふれる荘厳なメタル。（Black）
α music,あるふぁみゅーじっく,http://www19.atpages.jp/tatu4/,オーケストラ、ピアノ,,東方風水華月,原曲維持,
凸凹えんたーていめんとすたじお,でこぼこえんたーていめんとすたじお,http://3rd.geocities.jp/deko_boko_es/index/,リコーダー、ゲームミュージック,,Electronic Magus,原曲維持,8ビットあり、リコーダー生演奏ありと多彩。（Black）
[4989],しくはっく,http://4989mm.littlestar.jp/,ロック,男女,musick for me,原曲維持,スローなロック風アレンジにハイトーン男声ボーカル、エレクトロも混ざったインストも。ドラマCDあり。（Black）
[ kapparecords]),かっぱれこーず,http://www5f.biglobe.ne.jp/~kapparecords/,ハードロック,男,SCARLET FANTASIA,原曲維持,生演奏ギタードラムベースと男声ボーカルがんばれ。（Black）
＜echo＞PROJECT,えこぷろじぇくと,http://echoproject.3rin.net/,ダンス、ポップス、ロック,女,eclat:,原曲重視～維持,女性ボーカルを軸にしてジャンルは何でもアレンジ。（Black）
#039,しゃーぷさんきゅー,http://sharp039.web.fc2.com/,,,EMERGENCE,,
#ゆうかりんちゃんねる,ゆうかりんちゃんねる,http://yuukach.web.fc2.com/,オーケストラ、クラシック、ピアノ、エレクトロ、ロック,,ゴリラ人間のための華麗なる大幻想曲集,原曲維持,クラシカルな構成と管弦を散りばめたオーケストラ、クラシック風インスト。バイオリンの倍音の響きが印象的。（Black）
10-GALLON(Digit Smith),てんがろん,http://10-gallon.net/,ロック、エレクトロ、ハードロック,女,悪魔城レミリア,原曲維持,原曲メロをミドルテンポなロックとエレクトロに乗せて。（Black）
刹那パラドックス(２☆),せつなぱらどっくす,http://coo.xii.jp/tsuki/2star/,ハードコア,,魔境ﾃﾞｨｽﾄ-ｼｮﾝ,原曲維持～破壊,ネタ曲多めなハーコーアレンジ。（鰻）
1211,いちにいちいち,http://1211.ya-gasuri.com/,ロック,男,百景,原曲維持,聞いて心地よい男性ボーカルと、早い曲調がマッチしていると感じる(鰻)
2nd Flush(右京屋),せかんどふらっしゅ,http://2ndflush.web.fc2.com/,テクノ、トランス,,existence,原曲維持,淡々と進むシンプルなテクノトランスに時間が過ぎる。（Black）
2SP+C'K,つーえすぴーしーけー,,エレクトロニカ,,STAR FRUIT,原曲維持～破壊,ふうわりとした電子癒し系よろずジャンル。（Black）
3/2,いってんご,http://gba9999.web.fc2.com/toppage.html,テクノ、エレクトロ、ロック,,冷やし中華始めました～夏限定～,原曲維持,ノンジャンルだがまとまったインストアレンジ。（Black）
38beets ,さんぱちびーつ,http://38beetsblog.blog67.fc2.com/,トランス,女,PIECES,原曲維持,シンプルな直球トランスに時々女性ボーカル。（和泉）
3S Cubic,さんえすきゅーびっく,http://3s-cubic.com/,ダンス、テクノ,女,地平線のむこう側へ,原曲維持,シンプルなダンス系四つ打ち。（Black）
404 Not Founds,よんまるよんのっとふぁうんど,http://404notfounds.yukimizake.net/,バンドアレンジ,男,カミカゼファンタジア,原曲重視～維持,ギターとドラムの昔ながらのバンドにボーカル。拙くも味がある。（Black）
5150,ごういちごうまる,http://ryu-5150.jp/,メタル,男,シンフォニック東方,原曲維持,ギターとシンセと細かいビートでかっ飛びたい人向け。（Black）
556mm,ごひゃくごじゅうろくみりめーとる,http://556mm.blog136.fc2.com/,トランス、ハードコア、テクノ,女,passion -Dancing Battle Girls-,原曲維持,スタンダードなトランス、ハードコアのメロに乗せた女声ボーカル。（Black）
57,ふぃふてぃせぶん,http://fiftyseven.blog71.fc2.com/,ロック,女,東方ギターロックボーカルアレンジCD　1st demo,原曲維持,荒削りなギターロックに女声ボーカル。（Black）
72hPa,ななじゅうにへくとぱすかる,http://72hpa.web.fc2.com/,,,デモCD,,
9bFOX,きゅーびーふぉっくす,http://9bfox.blog20.fc2.com/,ロック,男,Birth of the Chain,原曲維持,メロコア生演奏が楽しそう。（和泉）
⑨いんてっと,くいんてっと,http://9tet.com/,テクノ、エレクトロ、ロック、ハードコア,女,In The Court Of The Scarlet Devil,原曲維持,打ち込み系による多彩なアレンジが飽きさせない。（和泉）
⑨ウリバタケ,きゅうりばたけ,http://www.9uri.com/,バンドアレンジ,男女,いろは道中,原曲維持,ギターとドラムのシンプルなバンドアレンジにボーカル。（Black）
A.S.C.Y.,えー・えす・しー・わい,,シンセ、ロック、テクノ,,EASTERN GREEN MILE,原曲維持,多彩なシンセ系アレンジが飽きさせない。（Black）
Abandoned Antique Moon Faktoria,あばんどーんｄあんちきゅーもーんふぁくとりあ,http://blog.livedoor.jp/moon_faktoria/,,,Ageless Adore,,
acrophobia,あくろふぉびあ,http://acrophobia.yaekumo.com/,ロック,男,red buzz,原曲維持,ヘビーなメロとエレキギターのリフが唸るロックアレンジに男声ボーカル。（Black）
activity,あくてぃびてぃ,http://activity.sakura.ne.jp/,ロック,男,twintail+,原曲維持,シンプルなロックサウンドに枯れた男声ボーカルの手作り感。（Black）
Acute Strings,あきゅーとすとりんぐす,http://adanchsa.blog13.fc2.com/,ロック,,Fragment of Visions,,
ad libitum records,あどりぶれこーず,,トランス,,玄海秋桜,原曲維持,ひと捻り加えたトランスアレンジは面白い。（Black）
Aftergrow,あふたーぐろう,http://aftergrow12.web.fc2.com/,ロック,男女,color of soundscape,原曲維持,華やかなギターとドラム。ボーカルがんばれ。（Black）
AGENT 0,えーじぇんとぜろ,http://hp.xxxxxxx.jp/agent0/,メタル、ハードロック,男,ultima weapon ,原曲維持～破壊,かっ飛ぶリフとドラムにデスメタルボイスがカオス。（和泉）
A-HEAD,あへっど,http://a-head.cc/,ロック,男女,籠リ謳,原曲維持,ギターメインのストレートなアレンジ。時々ボーカル。（Black）
AIR WINDOW,えあうぃんどう,http://www3.ocn.ne.jp/~airwind/,テクノ、ハウス,,夢幻少女の祈る夜,原曲維持,色々なジャンルで華はなくも凝らしたアレンジ。（Black）
AkibaratyLabo.,あきばらてぃらぼ,http://akibaraty.blog97.fc2.com/,ドラマCD,,東方恋録抄　Remember The Time,,
Aleile,あれいる,http://aleile.com/,テクノ、エレクトロ、クラシック,,Beauteous Rain,原曲維持,ゆったりと幻想的な構成が印象的。（Black）
Alice Music,ありすみゅーじっく,http://alicemusic.ciao.jp/,ロック,男女,Masterpiece,原曲維持,ギターとシンセの基本王道ロックに厚めの女性ボーカル。（Black）
ALICE:made ,ありすめいど,http://alicemade.web.fc2.com/,ロック、オルゴール,男女,ALICE'S EVIDENCE ,原曲維持,
ALiCE'S EMOTiON,ありすずえもーしょん,http://redalice.net/,ハードコア、トランス,女,SCARLET EYES,原曲維持～破壊,高速重低音ハードコアの技術はピカイチ。（Black）
Alluvial Comet,あるーう゛ぃおこめっと,http://alluvialcomet.web.fc2.com/,ロック,,Magic Rock Field,原曲維持,シンプルなギターがうねりじっくりと聴かせるインスト。（Black）
Alnair Musica,あるないるむーじか,http://alnairgiocato228.blog90.fc2.com/,ロック、オーケストラ,,Transient Dreamers -ver. Eternal Reminiscence-,原曲維持,シンプルで軽やかなロックインスト、静かなオーケストラアレンジ。（Black）
AlphaVersion Records,あるふぁばーじょんれこーづ,http://avr.ninja-web.net/,,,The AlphaVersion Records ,原曲維持,
Alstroemeria Records,あるすとろめりあれこーず,http://www.alst.net/,ダンス、トランス,女,Lovelight,原曲維持～破壊,高水準の技術に女性ボーカルの安定度は抜群。（Black）
ALTERNATIVE,おるたなてぃぶ,,ジャズ、メタル、ボーカロイド,,Twilight Symphony,原曲維持,アルバムごとにアレンジャーが変わり多彩。（Black）
AmaterasRecords ,あまてらすれこーず,http://amateras-records.com/,トランス、テクノ、エレクトロ、ポップス,女,Artifact,原曲維持,スタンダードなテンポよい四つ打ちに女声ボーカル。（Black）
Analyze -,あならいず,http://scottishfold.hp2.jp/,ハードロック,,ENDLESS WINTER,原曲維持,ギターメインの王道ハードロック。（Black）
ANARQIE Records,あなーきーれこーず,http://anarqierecords.com/,ポップス、エレクトロ、ロック,女,みんなの東方リミックス   ,原曲維持～破壊,ポップで明るいヴォーカル曲が印象的。（鰻）
AncientChronicle,えいんしぇんとくろにくる,http://ac.udonge.net/,テクノ、エレクトロ,,夢幻月光 - Drastic Preterite.Comments,原曲重視,原曲に忠実に雰囲気を残した打ち込みアレンジ。（和泉）
And-of-world,えんどおぶわーるど,http://aoworld.blog69.fc2.com/,ロック、バンド,男女,memento,原曲重視,ギターメインのバンドアレンジに男声ボーカル。（Black）
AniPix,あにぴくす,http://www.anipix.info/,デジタルロック,女,Rectia,原曲維持,安定した技術に多彩なジャンルは聞いてて飽きさせない。（Black）
Anisakis simplex,あにさきすしんぷれっくす,http://anisakissimplex.blog96.fc2.com/,テクノ、エレクトロ,男女,零期感染,原曲維持,素直なピアノメインのアレンジ。男声ボーカルは伸び伸び。（Black）
A-One,えーわん,http://a-one-records.com/,ダンス、ポップス、ロック,女,DYSTOPIA,原曲維持～破壊,技術的に十分なよろずアレンジに安定したボーカルは手堅い。（Black）
Aphrodite Symphonics,あふろでぃーてしんふぉにっくす,http://www5f.biglobe.ne.jp/~kapparecords/,ハードロック,女,THE NINTH GATE of SCARLET FANTASIA,原曲維持～破壊,王道ハードロックの激しいギターさばきに力強い女性ボーカル。（Black）
Applice,あぷりす,http://applice.com/,オーケストラ、エレクトロ,,Fantasía de Conciertos,原曲維持,オケアレンジにいろいろな音を入れて飽きさせない。（Black）
AQUAELIE,あくあえりー,http://www.k4.dion.ne.jp/~aquaelie/,メタル,,神速裁判 ～ Rapidity is a justice,原曲維持～破壊,超疾走のギターの奔流に巻き込まれていく。（和泉）
AQUARIA MUSICS,あくありあみゅーじっくす,http://members.jcom.home.ne.jp/suiden/,ロック,,恐怖の幻想改革,原曲維持～破壊,プログレロックのギターとオルガンが多彩な世界。（Black）
AQUASTYLE,あくあすたいる,http://www.aquastyle.org/,シンセ、テクノ,,東方奇闘曲,原曲重視,ジャンルを問わない多様なアレンジ。（Black）
