"ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Start.of.Night","Morning.Feel"
42,208,18,0,40,124,44,0,1505,NA
79,399,19,3,118,209,73,1,1420,2
97,518,12,4,159,291,69,3,1415,3
93,465,79,1,158,228,79,1,1420,3
92,501,32,5,153,287,62,4,1415,4
100,520,18,6,172,273,75,2,1440,3
51,247,7,0,39,146,63,0,1465,3
76,422,20,21,151,220,52,7,1425,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,438,23,1,102,287,50,1,1420,NA
96,520,14,11,181,279,60,4,1455,4
101,529,20,9,188,267,75,5,1445,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,554,13,4,150,315,90,2,1425,3
109,583,24,2,175,338,70,1,1405,NA
89,480,27,8,176,252,53,4,1435,2
98,531,16,11,169,294,68,5,1440,4
81,443,19,3,129,266,48,2,1490,4
42,194,14,0,54,92,49,0,1440,NA
99,546,11,2,149,342,55,0,1425,4
91,515,19,16,165,301,50,5,1430,3
27,124,16,0,18,68,39,0,1435,3
101,556,19,1,176,331,50,1,1390,3
96,530,18,1,153,327,51,1,1380,4
70,375,13,2,79,241,56,1,1405,2
88,488,23,7,178,265,45,5,1430,3
93,506,26,2,194,271,42,2,1410,2
81,439,14,7,152,235,53,4,1425,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,474,24,10,133,277,64,5,1395,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,509,10,1,162,280,68,1,1425,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,463,29,2,164,242,58,2,1435,4
44,223,5,1,56,127,41,1,1455,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,318,19,0,78,179,62,0,1420,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,138,9,5,8,83,47,1,1470,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,476,21,11,150,276,51,7,1460,3
100,540,12,16,125,322,93,7,1445,4
91,416,4,0,134,178,105,0,1300,NA
59,318,17,14,65,193,60,4,1280,NA
91,464,5,3,200,205,59,2,1455,4
74,385,23,2,120,209,57,2,1560,4
61,335,25,0,62,231,42,0,1455,3
78,393,20,3,137,192,64,2,1580,4
25,121,6,0,16,72,33,0,1520,NA
32,153,11,1,22,88,43,1,1500,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
