"Date","ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Morning.Feel","Disturbance","Noopept","Magtein","Magnesium.citrate"
"2012-02-16",96,571,3,42,151,357,63,10,3,1.030707765,"NA","NA","NA"
"2012-02-17",89,573,18,42,155,371,47,17,3,4.4452150587,"NA","NA","NA"
"2012-02-18",77,476,51,73,128,298,50,9,3,5.8893466491,"NA","NA","NA"
"2012-02-19",78,477,25,48,132,286,60,14,2,4.2926391475,"NA","NA","NA"
"2012-02-20",79,476,30,75,162,259,56,12,2,5.4248000409,"NA","NA","NA"
"2012-02-21",94,542,29,41,184,293,66,13,3,3.8921628222,"NA","NA","NA"
"2012-02-22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2012-02-23",112,591,2,7,172,331,88,3,3,-3.1861385432,"NA","NA","NA"
"2012-02-24",98,555,2,28,144,337,74,8,2,-0.4373401306,"NA","NA","NA"
"2012-02-25",91,507,41,33,179,263,66,8,3,2.7162691788,"NA","NA","NA"
"2012-02-26",115,630,2,16,181,370,79,5,4,-2.0550755886,"NA","NA","NA"
"2012-02-27",100,571,21,22,178,324,70,12,4,1.9713543772,"NA","NA","NA"
"2012-02-28",99,564,52,23,184,332,49,5,3,2.0190176526,"NA","NA","NA"
"2012-02-29",88,545,2,66,167,330,48,11,3,2.5472842119,"NA","NA","NA"
"2012-03-01",81,448,1,33,165,224,60,8,2,-0.2485985775,"NA","NA","NA"
"2012-03-03",135,689,8,2,196,375,118,3,4,-3.0042716268,"NA","NA","NA"
"2012-03-04",105,562,17,20,182,298,83,7,3,-0.0750504723,"NA","NA","NA"
"2012-03-05",86,505,57,54,138,301,66,10,2,5.6641510288,"NA","NA","NA"
"2012-03-06",89,521,33,39,168,296,57,11,3,3.425595189,"NA","NA","NA"
"2012-03-07",92,539,15,27,167,324,49,9,3,0.8026237958,"NA","NA","NA"
"2012-03-08",94,541,20,49,174,298,69,10,4,2.6587851073,"NA","NA","NA"
"2012-03-09",91,507,33,16,147,298,62,5,3,0.2426969225,"NA","NA","NA"
"2012-03-10",115,633,18,20,227,336,71,8,4,0.3280257766,"NA","NA","NA"
"2012-03-11",94,567,48,55,130,362,76,13,3,6.0364920981,"NA","NA","NA"
"2012-03-12",93,564,22,35,170,347,47,11,3,2.3999659584,"NA","NA","NA"
"2012-03-13",18,88,22,4,14,49,26,1,"NA",-2.5193317234,"NA","NA","NA"
"2012-03-14",89,486,53,12,133,281,73,6,2,1.8437947581,"NA","NA","NA"
"2012-03-15",95,525,52,17,180,281,65,8,2,2.6904454212,"NA","NA","NA"
"2012-03-16",95,531,36,16,178,295,58,7,3,1.1229711143,"NA","NA","NA"
"2012-03-17",84,493,18,34,157,274,63,13,3,2.7088156434,"NA","NA","NA"
"2012-03-18",80,455,21,9,137,271,48,6,3,-0.6858173952,"NA","NA","NA"
"2012-03-19",103,571,10,17,185,313,73,9,4,-0.0937111678,"NA","NA","NA"
"2012-03-20",91,500,23,11,150,284,66,6,4,-0.4324287085,"NA","NA","NA"
"2012-03-21",25,104,16,0,8,49,47,0,3,-3.5033070394,"NA","NA","NA"
"2012-03-22",90,482,31,20,161,251,70,6,1,0.6336986874,"NA","NA","NA"
"2012-03-23",102,518,28,4,165,263,90,4,3,-1.0877378949,"NA","NA","NA"
"2012-03-24",93,506,25,18,168,271,67,6,3,0.0838232251,"NA","NA","NA"
"2012-03-25",84,458,22,7,123,263,73,8,2,-0.05893189,"NA","NA","NA"
"2012-03-26",109,586,14,16,226,282,78,9,4,0.1502029584,"NA","NA","NA"
"2012-03-27",101,536,14,8,163,289,84,6,3,-1.2572419019,"NA","NA","NA"
"2012-03-28",96,512,31,12,173,268,72,5,3,-0.1158370629,"NA","NA","NA"
"2012-03-29",92,509,19,18,166,284,59,5,3,-0.6898614933,"NA","NA","NA"
"2012-03-30",91,510,15,36,151,283,76,10,2,1.6047321954,"NA","NA","NA"
"2012-03-31",102,535,17,7,161,294,81,3,3,-2.0743131346,"NA","NA","NA"
"2012-04-01",71,398,28,6,85,262,52,4,2,-0.9825925961,"NA","NA","NA"
"2012-04-02",97,541,19,40,175,290,77,10,4,2.1115095687,"NA","NA","NA"
"2012-04-03",86,484,30,13,126,299,59,6,2,0.1915684476,"NA","NA","NA"
"2012-04-04",112,587,22,5,205,297,85,5,4,-1.1509408539,"NA","NA","NA"
"2012-04-05",83,467,14,16,156,259,53,7,3,-0.5077061516,"NA","NA","NA"
"2012-04-06",93,521,25,27,181,281,60,7,3,0.8859316248,"NA","NA","NA"
"2012-04-07",95,509,14,13,163,277,70,5,3,-1.3233332099,"NA","NA","NA"
"2012-04-08",94,524,18,15,163,301,61,6,4,-0.5927465804,"NA","NA","NA"
"2012-04-09","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2012-04-10",80,450,38,36,131,257,62,6,2,1.9937129352,"NA","NA","NA"
"2012-04-11",92,503,33,14,166,287,51,2,3,-0.8493120413,"NA","NA","NA"
"2012-04-12",96,545,19,20,163,313,69,10,3,1.0600565806,"NA","NA","NA"
"2012-04-13",89,497,26,16,167,276,54,6,3,0.0527996202,"NA","NA","NA"
"2012-04-14",109,593,18,20,194,329,71,5,3,-0.6588378884,"NA","NA","NA"
"2012-04-15",77,432,24,17,137,249,46,5,2,-0.3718256732,"NA","NA","NA"
"2012-04-16",115,616,7,19,197,327,93,8,1,-0.5398855057,"NA","NA","NA"
