"Date","Alcohol","ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Start.of.Night","End.of.Night","Rise.Time","Morning.Feel"
"2013-05-01","FALSE",91,506,23,10,176,279,51,6,1445,"05/02/2013 06:09","05/02/2013 06:05",4
"2013-05-02","FALSE",79,425,42,55,180,175,71,9,1445,"05/03/2013 05:49","05/03/2013 05:35",1
"2013-05-02","TRUE",79,425,42,55,180,175,71,9,1445,"05/03/2013 05:49","05/03/2013 05:35",1
"2013-05-03","FALSE",94,499,6,21,198,238,63,5,1440,"05/04/2013 06:37","05/04/2013 06:15",2
"2013-05-03","TRUE",94,499,6,21,198,238,63,5,1440,"05/04/2013 06:37","05/04/2013 06:15",2
"2013-05-03","TRUE",94,499,6,21,198,238,63,5,1440,"05/04/2013 06:37","05/04/2013 06:15",2
"2013-05-04","TRUE",79,394,35,1,136,189,70,2,1495,"05/05/2013 05:16","05/05/2013 05:05",3
"2013-05-04","FALSE",79,394,35,1,136,189,70,2,1495,"05/05/2013 05:16","05/05/2013 05:05",3
"2013-05-05","FALSE",69,381,28,35,102,222,58,4,1430,"05/06/2013 05:57","05/06/2013 05:15",2
"2013-05-06","FALSE",73,424,30,20,145,249,30,3,1475,"05/07/2013 05:36","05/07/2013 05:15",3
"2013-05-07","FALSE",102,557,18,6,166,326,65,3,1420,"05/08/2013 06:37","05/08/2013 06:20",4
"2013-05-08","TRUE",101,526,23,4,187,269,70,3,1425,"05/09/2013 06:08","05/09/2013 06:10",2
"2013-05-08","FALSE",101,526,23,4,187,269,70,3,1425,"05/09/2013 06:08","05/09/2013 06:10",2
"2013-05-09","FALSE",78,439,15,19,137,247,56,7,1430,"05/10/2013 06:29","05/10/2013 06:10",3
"2013-05-10","FALSE",97,537,20,15,173,302,62,6,1420,"05/11/2013 06:15","05/11/2013 06:00",4
"2013-05-10","TRUE",97,537,20,15,173,302,62,6,1420,"05/11/2013 06:15","05/11/2013 06:00",4
"2013-05-11","FALSE",89,509,28,51,194,266,50,7,1410,"05/12/2013 06:29","05/12/2013 06:15",2
"2013-05-12","FALSE",108,588,21,22,219,291,78,10,1385,"05/13/2013 06:43","05/13/2013 06:35",4
"2013-05-13","FALSE",86,496,26,24,172,276,48,8,1475,"05/14/2013 06:46","05/14/2013 06:40",2
"2013-05-13","TRUE",86,496,26,24,172,276,48,8,1475,"05/14/2013 06:46","05/14/2013 06:40",2
"2013-05-14","FALSE",96,535,18,20,183,286,67,9,1420,"05/15/2013 06:31","05/15/2013 06:05",3
"2013-05-15","FALSE",90,488,36,25,158,267,64,3,1410,"05/16/2013 05:54","05/16/2013 05:35",3
"2013-05-16","FALSE",107,572,19,10,204,292,77,7,1425,"05/17/2013 06:49","05/17/2013 06:45",2
"2013-05-16","TRUE",107,572,19,10,204,292,77,7,1425,"05/17/2013 06:49","05/17/2013 06:45",2
"2013-05-17","FALSE",92,514,32,8,144,311,60,6,1395,"05/18/2013 05:50","05/18/2013 05:50",3
"2013-05-17","TRUE",92,514,32,8,144,311,60,6,1395,"05/18/2013 05:50","05/18/2013 05:50",3
"2013-05-18","FALSE",78,435,30,19,134,248,53,5,1325,"05/19/2013 03:18","05/19/2013 03:00",2
"2013-05-18","TRUE",78,435,30,19,134,248,53,5,1325,"05/19/2013 03:18","05/19/2013 03:00",2
"2013-05-19","TRUE",104,566,13,25,223,267,76,12,1405,"05/20/2013 06:29","05/20/2013 06:30",3
"2013-05-19","FALSE",104,566,13,25,223,267,76,12,1405,"05/20/2013 06:29","05/20/2013 06:30",3
"2013-05-20","FALSE",87,490,20,24,179,260,52,8,1430,"05/21/2013 05:54","05/21/2013 05:25",3
"2013-05-21","FALSE",98,532,13,16,175,281,76,9,1415,"05/22/2013 06:10","05/22/2013 05:50",3
"2013-05-22","FALSE",81,446,36,43,159,224,64,6,1440,"05/23/2013 05:48","05/23/2013 05:45",2
"2013-05-23","FALSE",94,482,21,7,170,233,79,5,1430,"05/24/2013 06:43","05/24/2013 06:40",3
"2013-05-24","FALSE",86,499,39,31,170,278,52,10,1435,"05/25/2013 06:32","05/25/2013 06:10",2
"2013-05-25","FALSE",91,512,29,47,167,291,54,3,1415,"05/26/2013 06:29","05/26/2013 05:35",2
"2013-05-26","FALSE",106,562,21,18,161,304,98,8,1420,"05/27/2013 07:49","05/27/2013 07:40",3
"2013-05-27","FALSE",101,550,51,16,195,292,63,6,1415,"05/28/2013 06:56","05/28/2013 07:00",4
"2013-05-28","FALSE",60,353,14,20,85,226,43,6,1410,"05/29/2013 03:44","05/29/2013 02:40",2
